ds,y
2015-01-01,10.39095486111111
2015-01-02,9.848697916666667
2015-01-03,9.775399305555554
2015-01-04,8.07404513888889
2015-01-05,7.128802083333333
2015-01-06,9.22720486111111
2015-01-07,9.730225694444444
2015-01-08,9.927586805555556
2015-01-09,8.985885416666667
2015-01-10,9.473506944444445
2015-01-11,10.061440972222222
2015-01-12,10.307708333333332
2015-01-13,11.145572916666666
2015-01-14,11.263819444444444
2015-01-15,10.888975694444445
2015-01-16,10.721666666666666
2015-01-17,11.20717013888889
2015-01-18,11.40217013888889
2015-01-19,11.219670138888889
2015-01-20,10.923854166666667
2015-01-21,10.992881944444443
2015-01-22,10.599930555555556
2015-01-23,11.264322916666666
2015-01-24,11.32543402777778
2015-01-25,10.875711805555556
2015-01-26,10.611666666666666
2015-01-27,10.08626736111111
2015-01-28,10.206718749999999
2015-01-29,10.694322916666666
2015-01-30,10.734045138888888
2015-01-31,11.174461805555557
2015-02-01,11.57970486111111
2015-02-02,10.512256944444443
2015-02-03,10.724288194444446
2015-02-04,11.190468749999999
2015-02-05,9.770833333333334
2015-02-06,10.957395833333335
2015-02-07,11.494375
2015-02-08,11.262552083333333
2015-02-09,10.909930555555555
2015-02-10,11.348524305555555
2015-02-11,11.668836805555555
2015-02-12,10.041284722222223
2015-02-13,10.638211805555555
2015-02-14,11.499027777777776
2015-02-15,11.755694444444444
2015-02-16,11.427152777777778
2015-02-17,10.060503472222223
2015-02-18,7.295885416666667
2015-02-19,11.156840277777777
2015-02-20,10.900486111111112
2015-02-21,9.33609375
2015-02-22,9.970121527777778
2015-02-23,9.465034722222223
2015-02-24,9.663194444444445
2015-02-25,8.98078125
2015-02-26,9.219774305555555
2015-02-27,7.406736111111111
2015-02-28,10.638958333333333
2015-03-01,9.51986111111111
2015-03-02,9.796076388888888
2015-03-03,9.142534722222221
2015-03-04,8.278559027777778
2015-03-05,10.0978125
2015-03-06,10.4653125
2015-03-07,11.038472222222223
2015-03-08,11.301371527777777
2015-03-09,10.422135416666666
2015-03-10,11.028055555555556
2015-03-11,11.50376736111111
2015-03-12,11.179774305555554
2015-03-13,7.688975694444444
2015-03-14,9.663142361111111
2015-03-15,9.362291666666666
2015-03-16,8.878038194444445
2015-03-17,9.082847222222222
2015-03-18,11.070989583333334
2015-03-19,12.097934027777777
2015-03-20,11.197083333333333
2015-03-21,11.103732638888888
2015-03-22,10.54670138888889
2015-03-23,12.136753472222223
2015-03-24,9.793854166666666
2015-03-25,10.780920138888888
2015-03-26,9.935555555555554
2015-03-27,7.6909375
2015-03-28,9.570434027777777
2015-03-29,10.594982638888888
2015-03-30,8.819965277777778
2015-03-31,10.507361111111111
2015-04-01,11.331163194444445
2015-04-02,9.623628472222222
2015-04-03,10.283611111111112
2015-04-04,11.04517361111111
2015-04-05,11.576701388888887
2015-04-06,11.058315972222223
2015-04-07,10.045086805555556
2015-04-08,11.600104166666666
2015-04-09,8.789444444444444
2015-04-10,10.544739583333333
2015-04-11,7.515815972222222
2015-04-12,8.567482638888889
2015-04-13,10.040850694444444
2015-04-14,11.59486111111111
2015-04-15,12.383645833333333
2015-04-16,12.974166666666667
2015-04-17,13.032864583333334
2015-04-18,12.813732638888888
2015-04-19,12.981458333333334
2015-04-20,13.307638888888889
2015-04-21,13.515833333333333
2015-04-22,13.50328125
